Order_ID,Product,Category,Region,Quantity,Unit_Price,Total_Price,Discount_Pct,Payment_Method,Order_Status,Customer_Age,Order_Date,Rating
ORD00001,Phone,Electronics,South,9,663.78,5974.02,0.0,Bank Transfer,Delivered,20.0,2023-01-01,4.0
ORD00002,Monitor,Accessories,Central,14,1206.8,16895.2,20.0,Cash,Cancelled,19.0,2023-01-01,2.4
ORD00003,Speaker,Audio,West,1,466.92,466.92,10.0,Cash,Delivered,43.0,2023-01-01,3.8
ORD00004,Charger,Accessories,East,13,1490.46,19375.98,10.0,PayPal,Delivered,40.0,2023-01-01,3.6
ORD00005,Speaker,Audio,Central,4,41.73,166.92,10.0,Bank Transfer,Cancelled,25.0,2023-01-02,2.4
ORD00006,Charger,Accessories,South,5,250.32,1251.6,0.0,PayPal,Delivered,54.0,2023-01-02,3.3
ORD00007,Tablet,Electronics,North,6,265.26,1591.56,0.0,PayPal,Pending,67.0,2023-01-02,4.4
ORD00008,Keyboard,Accessories,South,10,41.7,417.0,5.0,Bank Transfer,Delivered,37.0,2023-01-02,4.9
ORD00009,Mouse,Accessories,North,10,355.72,,15.0,Bank Transfer,Delivered,45.0,2023-01-03,4.2
ORD00010,Keyboard,Accessories,South,13,860.47,11186.11,0.0,Bank Transfer,Pending,66.0,2023-01-03,4.4
ORD00011,Phone,Electronics,Central,12,99999.0,3816.84,,Bank Transfer,Delivered,56.0,2023-01-03,1.0
ORD00012,Webcam,Accessories,East,5,653.58,3267.9,20.0,Credit Card,Cancelled,,2023-01-03,3.8
ORD00013,Monitor,Accessories,West,8,776.67,6213.36,5.0,Cash,Pending,50.0,2023-01-04,3.6
ORD00014,Webcam,Accessories,North,8,705.47,5643.76,10.0,Credit Card,Delivered,27.0,2023-01-04,1.5
ORD00015,Phone,Electronics,South,2,1482.97,2965.94,10.0,PayPal,Cancelled,55.0,2023-01-04,2.6
ORD00016,Phone,Electronics,East,12,70.26,843.12,10.0,Bank Transfer,Delivered,31.0,2023-01-04,5.0
ORD00017,Laptop,Electronics,East,3,867.84,2603.52,15.0,,Delivered,,2023-01-05,2.6
ORD00018,Headphones,Audio,East,18,224.98,4049.64,5.0,Cash,Delivered,30.0,2023-01-05,3.9
ORD00019,Keyboard,Accessories,West,2,424.38,848.76,10.0,Bank Transfer,Pending,46.0,2023-01-05,1.6
ORD00020,Webcam,Accessories,West,13,787.45,10236.85,5.0,Cash,Delivered,48.0,2023-01-05,2.4
ORD00021,Tablet,Electronics,West,16,130.68,2090.88,10.0,PayPal,Cancelled,61.0,2023-01-06,1.7
ORD00022,Laptop,Electronics,Central,14,660.75,9250.5,10.0,Credit Card,Delivered,29.0,2023-01-06,3.2
ORD00023,Charger,Accessories,Central,8,1496.22,11969.76,20.0,Cash,Delivered,69.0,2023-01-06,3.5
ORD00024,Charger,Accessories,North,2,533.48,1066.96,10.0,PayPal,Pending,66.0,2023-01-06,3.0
ORD00025,Keyboard,Accessories,East,18,391.52,7047.36,10.0,,Delivered,39.0,2023-01-07,4.7
